comment,label,processed_comment
"Sản phẩm rất tốt, mình thích lắm!",positive,sản_phẩm rất tốt mình thích lắm
"Dịch vụ quá tệ, không bao giờ mua lại.",negative,dịch_vụ quá tệ không bao_giờ mua lại
"Giao hàng nhanh, nhưng chưa sử dụng nên chưa biết chất lượng.",neutral,giao hàng nhanh nhưng chưa sử_dụng nên chưa biết chất_lượng
"Mỹ phẩm này dùng thích ghê, sẽ ủng hộ tiếp!",positive,mỹ_phẩm dùng thích ghê sẽ ủng_hộ tiếp
"Giao hàng lâu quá, làm ăn kiểu gì vậy?",negative,giao hàng lâu quá làm_ăn kiểu gì vậy
"Chưa thử nhưng thấy nhiều người khen, chắc cũng ổn.",neutral,chưa thử nhưng thấy nhiều người khen chắc ổn
"Clip này đỉnh thật, xem xong muốn share liền!",positive,clip đỉnh thật xem xong muốn share liền
"Video này đỉnh thật, xem xong muốn tua lại luôn!",positive,video đỉnh thật xem xong muốn tua lại luôn
"Dịch vụ tệ quá, không bao giờ quay lại nữa.",negative,dịch_vụ tệ quá không bao_giờ quay lại nữa
"Clip này ổn, nhưng chưa xem hết nên chưa rõ.",neutral,clip ổn nhưng chưa xem hết nên chưa rõ
"Nhạc hay vãi, nghe cả ngày không chán!",positive,nhạc hay vãi nghe cả ngày không chán
"Giao hàng chậm như rùa, chán ghê!",negative,giao hàng chậm như rùa chán ghê
"Game này nghe nói hay, để tải thử xem sao.",neutral,game nghe nói hay để tải thử xem sao
"Nội dung chất lượng, đáng để subscribe!",positive,nội_dung chất_lượng đáng để subscribe
"Phim dở ẹc, phí thời gian xem.",negative,phim dở ẹc_phí thời_gian xem
"Bài viết dài quá, đọc xong hơi mệt.",neutral,bài viết dài quá đọc xong hơi mệt
"App này xịn thật, dùng thích lắm!",positive,app xịn thật dùng thích lắm
"Hàng lỗi tùm lum, mua về tức điên!",negative,hàng lỗi tùm_lum mua về tức điên
"Chưa dùng nên không biết, để test thử.",neutral,chưa dùng nên không biết để test thử
"Clip hài quá, cười đau cả bụng!",positive,clip hài quá cười đau cả bụng
"Âm thanh tệ quá, nghe mà nhức đầu.",negative,âm_thanh tệ quá nghe mà nhức đầu
"Sản phẩm này cũng được, không tệ lắm.",neutral,sản_phẩm không tệ lắm
"Video đỉnh cao, không skip giây nào!",positive,video đỉnh_cao không skip_giây nào
"Dịch vụ lừa đảo, mọi người tránh xa nhé!",negative,dịch_vụ lừa_đảo mọi người tránh xa nhé
"Nghe đồn phim hay, để cuối tuần xem.",neutral,nghe đồn phim hay để cuối tuần xem
"Game này tuyệt vời, chơi hoài không chán!",positive,game tuyệt_vời chơi hoài không chán
"Giao hàng lâu quá, làm ăn kiểu gì vậy?",negative,giao hàng lâu quá làm_ăn kiểu gì vậy
"Nội dung bình thường, không có gì đặc biệt.",neutral,nội_dung bình_thường không gì đặc_biệt
"Mỹ phẩm xài thích ghê, sẽ mua tiếp!",positive,mỹ_phẩm xài thích ghê sẽ mua tiếp
"Hàng fake, đừng ai mua kẻo tiếc!",negative,hàng fake đừng ai mua kẻo tiếc
"Chưa thử nhưng thấy review ổn, để xem.",neutral,chưa thử nhưng thấy review ổn để xem
"Clip này bá cháy, xem là mê liền!",positive,clip bá cháy xem mê liền
"Nhạc dở kinh khủng, tắt ngay lập tức.",negative,nhạc dở_kinh khủng_tắt ngay_lập_tức
"Phim này dài, chưa biết hay dở ra sao.",neutral,phim dài chưa biết hay dở ra sao
"Sản phẩm tốt quá, 5 sao luôn!",positive,sản_phẩm tốt quá 5 sao luôn
"Dịch vụ chán đời, không đáng 1 xu.",negative,dịch_vụ chán_đời không đáng 1 xu
"Game này tạm ổn, chơi được vài tiếng.",neutral,game tạm ổn chơi vài tiếng
"Video hay cực, up thêm đi nhé!",positive,video hay cực up thêm đi nhé
"Hàng giao trễ, thái độ nhân viên tệ nữa.",negative,hàng giao_trễ thái_độ nhân_viên tệ nữa
"Chưa xem hết, nhưng thấy cũng bình thường.",neutral,chưa xem hết nhưng thấy bình_thường
"Nhạc chill quá, nghe thư giãn ghê!",positive,nhạc chill quá nghe thư_giãn ghê
"App lỗi liên tục, xóa luôn cho rồi.",negative,app lỗi liên_tục xóa luôn cho_rồi
"Clip này nghe nói viral, để check thử.",neutral,clip nghe nói viral để check thử
"Phim này đỉnh của chóp, xem đi không tiếc!",positive,phim đỉnh chóp xem đi không tiếc
