comment,label
"Sản phẩm rất tốt, mình thích lắm!",positive
"Dịch vụ quá tệ, không bao giờ mua lại.",negative
"Giao hàng nhanh, nhưng chưa sử dụng nên chưa biết chất lượng.",neutral
"Mỹ phẩm này dùng thích ghê, sẽ ủng hộ tiếp!",positive
"Giao hàng lâu quá, làm ăn kiểu gì vậy?",negative
"Chưa thử nhưng thấy nhiều người khen, chắc cũng ổn.",neutral
"Clip này đỉnh thật, xem xong muốn share liền!",positive
"Video này đỉnh thật, xem xong muốn tua lại luôn!",positive
"Dịch vụ tệ quá, không bao giờ quay lại nữa.",negative
"Clip này ổn, nhưng chưa xem hết nên chưa rõ.",neutral
"Nhạc hay vãi, nghe cả ngày không chán!",positive
"Giao hàng chậm như rùa, chán ghê!",negative
"Game này nghe nói hay, để tải thử xem sao.",neutral
"Nội dung chất lượng, đáng để subscribe!",positive
"Phim dở ẹc, phí thời gian xem.",negative
"Bài viết dài quá, đọc xong hơi mệt.",neutral
"App này xịn thật, dùng thích lắm!",positive
"Hàng lỗi tùm lum, mua về tức điên!",negative
"Chưa dùng nên không biết, để test thử.",neutral
"Clip hài quá, cười đau cả bụng!",positive
"Âm thanh tệ quá, nghe mà nhức đầu.",negative
"Sản phẩm này cũng được, không tệ lắm.",neutral
"Video đỉnh cao, không skip giây nào!",positive
"Dịch vụ lừa đảo, mọi người tránh xa nhé!",negative
"Nghe đồn phim hay, để cuối tuần xem.",neutral
"Game này tuyệt vời, chơi hoài không chán!",positive
"Giao hàng lâu quá, làm ăn kiểu gì vậy?",negative
"Nội dung bình thường, không có gì đặc biệt.",neutral
"Mỹ phẩm xài thích ghê, sẽ mua tiếp!",positive
"Hàng fake, đừng ai mua kẻo tiếc!",negative
"Chưa thử nhưng thấy review ổn, để xem.",neutral
"Clip này bá cháy, xem là mê liền!",positive
"Nhạc dở kinh khủng, tắt ngay lập tức.",negative
"Phim này dài, chưa biết hay dở ra sao.",neutral
"Sản phẩm tốt quá, 5 sao luôn!",positive
"Dịch vụ chán đời, không đáng 1 xu.",negative
"Game này tạm ổn, chơi được vài tiếng.",neutral
"Video hay cực, up thêm đi nhé!",positive
"Hàng giao trễ, thái độ nhân viên tệ nữa.",negative
"Chưa xem hết, nhưng thấy cũng bình thường.",neutral
"Nhạc chill quá, nghe thư giãn ghê!",positive
"App lỗi liên tục, xóa luôn cho rồi.",negative
